source,target,release_date,populairty
Igor Stravinsky,Robert Nagel,1948,0
Giacomo Puccini,Kiri Te Kanawa,1948,0
Giacomo Puccini,London Philharmonic Orchestra,1948,0
Kiri Te Kanawa,London Philharmonic Orchestra,1948,0
Edvard Grieg,Jascha Heifetz,1948,0
Ernest Bloch,Jascha Heifetz,1948,0
Camille Saint-Saëns,New York Philharmonic,1949,4
Pietro Mascagni,Richard Tucker,1949,0
Ernest Bloch,Isaac Stern,1949,0
Johannes Brahms,Wiener Philharmoniker,1949,0
Nikolai Rimsky-Korsakov,Mario Lanza,1949,1
Ralph Vaughan Williams,New York Philharmonic,1949,0
Anton Bruckner,Wiener Philharmoniker,1949,0
Giacomo Puccini,Richard Tucker,1949,0
Joaquín Rodrigo,Andrés Segovia,1949,0
Franz von Suppé,London Philharmonic Orchestra,1949,0
Edward Elgar,Philharmonia Orchestra,1949,0
Giuseppe Verdi,Richard Tucker,1949,0
Sergei Prokofiev,Isaac Stern,1949,0
Giuseppe Verdi,Vienna State Opera Orchestra,1949,0
Freire,Mario Lanza,1949,0
Ludwig van Beethoven,Claudio Arrau,1949,4
Fernando Sor,Andrés Segovia,1949,0
Ottorino Respighi,London Symphony Orchestra,1950,0
Marc Lavry,Richard Tucker,1950,0
Lata Mangeshkar,Mohammed Rafi,1950,0
Richard Tucker,Nicolas Flagello,1950,0
Ralph Vaughan Williams,Leonard Bernstein,1950,0
Leonard Bernstein,New York Philharmonic,1950,0
Leonard Bernstein,Lukas Foss,1950,0
Lukas Foss,New York Philharmonic,1950,0
Franz Schubert,Isaac Stern,1950,4
Georges Bizet,Fritz Reiner,1951,0
Johann Strauss II,Vienna State Opera Chorus,1951,0
Johann Strauss II,Wiener Philharmoniker,1951,0
Vienna State Opera Chorus,Wiener Philharmoniker,1951,0
John Cage,Maro Ajemian,1951,2
Giacomo Puccini,Fernando Corena,1951,0
Giacomo Puccini,Renata Tebaldi,1951,0
Giacomo Puccini,Hilde Gueden,1951,0
Fernando Corena,Renata Tebaldi,1951,0
Fernando Corena,Hilde Gueden,1951,0
Renata Tebaldi,Hilde Gueden,1951,0
