name,filtered_genre,gender
Alexandre Tharaud,Classical,male
Alexei Lubimov,Classical,male
Alexi Murdoch,Indie,male
Alexis Weissenberg,Classical,male
Alexis y Fido,Hip-hop,male
Alexisonfire,Metal,unknown
Alextbh,Indie,unknown
Alfonso X El Sabio,Classical,male
Alfred Brendel,Classical,male
Alfred Deller,Classical,male
Alfred Prinz,Classical,male
Alfredo Casella,Classical,male
Alfredo Gutierrez,Pop,male
Alfredo Olivas,Pop,male
Ali,Pop,male
Ali & Gipp,Hip-hop,male
Ali Akbar Khan,Classical,male
Ali Farka Touré,Pop,male
Ali Gatie,Hip-hop,male
Ali Vegas,Hip-hop,male
Alice Babs,Jazz,female
Alice Coltrane,Jazz,female
Alice Cooper,Metal,female
Alice DJ,EDM,female
Alice Deejay,EDM,female
Alice Gerrard,Oldies,female
Alice In Chains,Metal,female
Alice Merton,Rock,female
Alicia Keys,Pop,female
Alicia de Larrocha,Classical,female
Alida,Pop,female
Alien Ant Farm,Metal,female
Alien Sex Fiend,Rock,female
Alina Baraz,Pop,female
Aliotta Haynes Jeremiah,Rock,male
Alisha,Pop,female
Alison Moyet,EDM,female
Alison Wonderland,EDM,female
Alive 'N Kickin',Pop,unknown
Alizée,Pop,female
Alka Yagnik,Pop,female
Alkaline Trio,Pop,unknown
Alkilados,Pop,unknown
All,Pop,unknown
All Shall Perish,Metal,unknown
All Sons & Daughters,Indie,unknown
All That Remains,Metal,unknown
All Them Witches,Indie,unknown
All Time Low,Pop,unknown
All-4-One,EDM,unknown
Alla Pugacheva,Pop,female
Alla Rakha,Classical,female
Allah-Las,Indie,unknown
Allan Holdsworth,Jazz,male
Allauddin Khan,Classical,unknown
Allday,Hip-hop,unknown
Allen Toussaint,Rock,male
Allie X,EDM,female
Allister,Pop,male
Allstar Weekend,Pop,unknown
Ally Brooke,EDM,female
Almendra,Indie,unknown
Almighty,Rap,unknown
Alok,Pop,male
Alphaville,EDM,unknown
Alphonse Mouzon,Jazz,male
Alta Consigna,Pop,female
Alter Bridge,Metal,male
Altered Images,EDM,unknown
Althea And Donna,Rock,female
Alton Ellis,Rock,male
AlunaGeorge,Indie,unknown
Alvaro Torres,Pop,male
Alvin Alcorn,Jazz,male
Alvin Lee,Country,male
Alvin Stardust,Pop,male
Alvvays,Indie,unknown
Aly & AJ,EDM,female
Alyson Stoner,Pop,female
Amadeus Quartet,Classical,male
Amaia Montero,Pop,female
Amanaz,Rock,unknown
Amanda Miguel,Pop,female
Amanda Palmer,Rock,female
Amanda Perez,Pop,female
Amanda Seyfried,Pop,female
Amanda Shires,Country,female
Amar,Metal,male
Amaranthe,Metal,unknown
Amazing Rhythm Aces,Country,unknown
Amber,Indie,female
Amber Coffman,Pop,female
Amber Mark,Indie,female
Amber Run,Indie,female
Ambjaay,Rap,unknown
Ambrosia,Country,female
Amedeo Minghi,Pop,male
Ameer Vann,Hip-hop,male
America,Pop,female
American Authors,Indie,unknown
American Breed,Pop,unknown
American Football,Indie,unknown
American Head Charge,Metal,unknown
American Hi-Fi,Pop,unknown
Amerie,EDM,unknown
Amil,Pop,male
Amilcare Ponchielli,Classical,male
Aminé,Hip-hop,unknown
Amir Khan,Classical,male
Amistades Peligrosas,Pop,unknown
Amit Trivedi,Pop,male
Amon Amarth,Metal,male
Amon Düül II,Rock,male
Amon Tobin,EDM,male
Amos Lee,Indie,male
Amos Milburn,R&B,male
Amr Diab,EDM,male
Amsterdam Baroque Orchestra,Classical,unknown
Amy Grant,Rock,female
Amy Liz,EDM,female
Amy Macdonald,Pop,female
Amy Millan,Indie,female
Ana Belén,Pop,female
Ana Bárbara,Pop,female
Ana Gabriel,Pop,female
Ana Olgica,Classical,female
Ana Tijoux,Indie,female
Ana Torroja,Pop,female
Anarbor,Pop,unknown
Anastacia,EDM,unknown
Anaïs Mitchell,Indie,female
Anberlin,Pop,unknown
Ancient Astronauts,EDM,unknown
Ancient Grease,Rock,unknown
Anders Miolin,Classical,male
Anders Osborne,Country,male
Anderson Bruford Wakeman Howe,Rock,male
Andre Legacy,Rap,male
Andre Nickatina,Rap,male
Andre Watts,Classical,male
Andre de Ridder,Classical,male
Andrea Bocelli,Pop,female
Andrea Rost,Classical,female
Andreas Moss,Pop,male
Andreas Scholl,Classical,male
Andrew Bayer,EDM,male
Andrew Belle,Indie,male
Andrew Bird,Indie,male
Andrew Gold,Pop,male
Andrew Hill,Jazz,male
Andrew Litton,Classical,male
Andrew Manze,Classical,male
Andrew McMahon in the Wilderness,Indie,male
Andrew Peterson,Indie,male
András Schiff,Classical,male
André 3000,Hip-hop,male
André Laplante,Classical,male
André Popp,Pop,male
André Rieu,Pop,male
André van Duin,Pop,male
Andrés Calamaro,Pop,male
Andrés Segovia,Classical,male
Andy & Lucas,Pop,male
Andy Gibb,Pop,male
Andy Grammer,EDM,male
Andy Griffith,Country,male
Andy Griggs,Country,male
Andy Kim,Pop,male
Andy Lau,Pop,male
Andy Mineo,Hip-hop,male
Andy Montañez,Jazz,male
Andy Williams,Jazz,male
Ane Brun,Pop,female
Angel Canales,Jazz,male
Angel Haze,Hip-hop,male
Angel Lopez,Hip-hop,male
Angel Olsen,Indie,male
Angel Romero,Classical,male
Angel Witch,Metal,male
Angel Y Khriz,Hip-hop,male
Angela Bofill,Rock,female
Angela Carrasco,Pop,female
Angela Chang,Pop,female
Angela Gheorghiu,Pop,female
Angela Ro Ro,Pop,female
Angelica Maria,Rock,female
Angelo Badalamenti,Jazz,male
Angelo DeBarre,Jazz,male
Angels & Airwaves,Pop,unknown
Angie Martinez,Pop,female
Angus & Julia Stone,Indie,male
Ani DiFranco,Indie,female
Animal Collective,EDM,unknown
Animals As Leaders,Jazz,unknown
Animotion,EDM,unknown
Anita Baker,Jazz,female
Anita Darian,Pop,female
Anita Lindblom,Pop,female
Anita Mui,Pop,female
Anita O'Day,Jazz,female
Anitta,Pop,female
Anja Lechner,Classical,female
Anjulie,Pop,unknown
Ann Lee,Country,female
Ann Marie,EDM,female
Anna Clendening,Pop,female
Anna German,Pop,female
Anna Jantar,Pop,female
Anna Margaret,Pop,female
Anna Moffo,Classical,female
Anna Naklab,EDM,female
Anna Nalick,Pop,female
Anna Tomowa-Sintow,Classical,female
Anna Wise,Indie,female
Anna of the North,Indie,female
Annabelle Lui,Pop,female
Anne Murray,Country,female
Anne Queffélec,Classical,female
Anne Sofie von Otter,Pop,female
Anne-Marie,EDM,female
Anne-Sophie Mutter,Classical,unknown
Anneliese Rothenberger,Classical,female
Annette Hanshaw,Jazz,female
Annibale E I Cantori Moderni,Oldies,male
Annie Lennox,Pop,female
Annie Ross,Jazz,female
Annihilator,Metal,unknown
Annika Wells,Pop,female
Another Sunny Day,Pop,male
Anouk,Indie,female
Anoushirvan Rohani,Pop,unknown
Anri,Pop,male
Ansel Collins,Rock,male
Ansel Elgort,EDM,male
Anson Seabra,Indie,male
Ant Banks,Rap,male
Ant Beale,Rap,male
Ant Clemons,Indie,male
Ant Saunders,Pop,male
Anthem Lights,Pop,unknown
Anthony Amorim,Indie,male
Anthony Halstead,Classical,male
Anthony Newman,Classical,male
Anthony Russo,Indie,male
Anthony Santos,Pop,male
Anthony Wonsey Trio,Jazz,male
Anthrax,Metal,unknown
Anton Bruckner,Classical,male
Anton Dermota,Classical,male
Anton Rubinstein,Classical,male
Anton Webern,Classical,male
Antonello Venditti,Pop,male
Antonietta Stella,Classical,female
Antonio Flores,Pop,male
Antonio Francisco Braga,Classical,male
Antonio Machín,Classical,male
Antonio Pappano,Classical,male
Antonio Vega,Pop,male
Antonio Vivaldi,Classical,male
Antonis Remos,Pop,male
Antony Santos,Pop,male
Antonín Dvořák,Classical,male
Antônio Carlos Jobim,Jazz,male
Anuel,Rap,unknown
Anuel AA,Rap,unknown
Anuradha,Pop,female
Anuradha Paudwal,Pop,female
Anya Marina,Indie,female
Anything Box,Pop,unknown
Anzen Chitai,Pop,unknown
Apache Indian,EDM,unknown
Apashe,Rap,unknown
Apathy,Hip-hop,unknown
Aperture Science Psychoacoustic Laboratories,Pop,unknown
Aphex Twin,EDM,unknown
Apink,Pop,unknown
Apocalyptica,Pop,unknown
Apparat,Pop,unknown
April Wine,Country,female
Aqua,EDM,unknown
Aqua Timez,Pop,unknown
Aqualung,Indie,unknown
Aquarian Dream,Jazz,unknown
Aquilo,Indie,unknown
Aram Khachaturian,Classical,male
Arc Angels,Rock,unknown
Arcade Fire,EDM,male
Arcadi Volodos,Classical,unknown
Arcadia,Indie,female
Arcangel,Hip-hop,unknown
Arcangelo Corelli,Classical,male
Arch Enemy,Metal,unknown
Archers Of Loaf,Indie,unknown
Archie,Pop,male
Archie Bell & The Drells,R&B,male
Archie Eversole,Hip-hop,male
Archie James Cavanaugh,Rock,male
Archie Shepp,Jazz,male
Archive,Indie,unknown
Arctic Monkeys,Indie,unknown
Ardyn,Pop,unknown
Aref,Pop,male
Arena Hash,Pop,unknown
Aretha Franklin,Jazz,female
Argent,Rock,unknown
Ari Lennox,Indie,male
Aria,EDM,female
Ariana Grande,EDM,female
Aric Lavie,Pop,male
Ariel Camacho y Los Plebes Del Rancho,Pop,male
Ariel Pink,EDM,male
Ariel Ramírez,Classical,male
Ariel Rivera,Rock,male
Aries,Pop,unknown
Arijit Singh,Pop,unknown
Arik Einstein,Pop,male
Arik Sinai,Pop,male
Arin Ray,Indie,male
Arizona Zervas,Pop,unknown
Arlie,Indie,male
Arlo Guthrie,Country,male
Arlo Parks,Indie,male
Armand Bégué,EDM,male
Armand Van Helden,EDM,male
Armando Manzanero,Pop,male
Armin van Buuren,EDM,male
Armor For Sleep,Indie,unknown
Armored Saint,Metal,unknown
Army Of Lovers,Pop,unknown
Army Of The Pharaohs,Hip-hop,female
Arne Bendiksen,Pop,male
Arne Domnérus,Jazz,male
Arnold Bax,Classical,male
Arnold Schoenberg,Classical,male
AronChupa,Pop,unknown
Arrested Development,Hip-hop,unknown
Arrogant Worms,Indie,unknown
Arrow Benjamin,Pop,male
Art Blakey,Jazz,male
Art Blakey & The Jazz Messengers,Jazz,male
