name,filtered_genre,gender,race,api,black,hispanic,white
A*Teens,EDM,unknown,white,0.005442279,0.21885836,0.017696625,0.7580027
A-Mei Chang,Pop,androgynous,api,0.9482397,0.003668451,0.005114618,0.04297727
A. M. Rajah,Pop,male,white,0.35384643,0.22597542,0.047724865,0.37245324
A. R. Qureshi,Classical,unknown,api,0.8882044,0.004567972,0.003931148,0.10329647
A.CHAL,Rap,unknown,api,0.9262813,0.006706725,0.028119223,0.038892694
A.R. Kane,Pop,male,white,0.011198307,0.027425483,0.011246474,0.95012975
A.R. Rahman,Pop,male,api,0.89902365,0.014110295,0.015116829,0.07174926
ABBA,Pop,unknown,white,0.06385626,0.005758696,0.008952508,0.9214326
ABN,Rap,unknown,white,0.013801118,0.03690593,0.006348778,0.9429442
ABSRDST,Pop,unknown,white,0.002263384,0.080658235,0.01815005,0.89892834
AC/DC,Rock,unknown,white,0.01630947,0.038044013,0.028020306,0.91762614
ACOT,Rap,unknown,white,0.035165545,0.19447766,0.017223125,0.7531337
AFI,Pop,unknown,api,0.46541122,0.06753957,0.044194005,0.42285523
AJ Mitchell,Pop,male,white,0.003013908,0.15922147,0.017628245,0.8201364
AJ Rafael,Indie,male,white,0.004702107,0.021091769,0.048140667,0.92606544
AJ Tracey,Hip-hop,female,white,0.004140086,0.1003999,0.020725593,0.87473446
AJJ,Indie,unknown,white,0.002562724,0.20607471,0.01112633,0.7802362
AJR,Pop,unknown,white,0.004998941,0.025648808,0.073274426,0.8960779
AL-X The Great,Rap,female,white,0.006572973,0.19358522,0.013777155,0.7860647
ALI,Pop,unknown,api,0.37950528,0.20048542,0.08281441,0.3371949
ALLBLACK,Rap,unknown,white,0.008290718,0.11453347,0.021038013,0.8561378
AOA,Pop,unknown,white,0.4306533,0.074250385,0.05833372,0.43676254
APB,Hip-hop,unknown,white,0.06356278,0.2208393,0.022871986,0.6927259
APO Hiking Society,Rock,unknown,white,0.008372145,0.00421098,0.012566555,0.9748503
ARTY,EDM,unknown,white,0.03657833,0.16549994,0.19351958,0.6044022
ASIAN KUNG-FU GENERATION,Pop,unknown,white,0.07903497,0.15729456,0.07344849,0.69022197
ATB,EDM,unknown,api,0.6257862,0.086846374,0.08485306,0.20251435
ATEEZ,Pop,unknown,hispanic,0.016552715,0.018046742,0.6781623,0.2872383
ATL,Pop,unknown,white,0.008399008,0.032270987,0.024888083,0.93444186
8-Aug,Pop,unknown,white,0.011403582,0.05626631,0.021574348,0.91075575
AURORA,Pop,unknown,white,0.033892326,0.009546899,0.19513239,0.7614284
AViVA,Pop,unknown,hispanic,0.0148759,0.001844638,0.8944189,0.08886056
AWAY,Rap,unknown,white,0.005187912,0.097337805,0.010695743,0.8867785
AWOLNATION,Indie,unknown,white,0.004316021,0.065489165,0.010054659,0.9201402
Aaliyah,EDM,female,white,0.005971201,0.1581789,0.012410871,0.823439
Aaron Carter,EDM,male,white,0.00327092,0.16617252,0.019463103,0.81109345
Aaron Copland,Classical,male,white,0.003046508,0.0676074,0.013925247,0.91542083
Aaron Kamm and the One Drops,Indie,male,white,0.004538939,0.020050645,0.015859488,0.9595509
Aaron Krause,Indie,male,white,0.006754546,0.002646678,0.02592752,0.9646713
Aaron Kwok,Pop,male,white,0.007741265,0.1467441,0.02342909,0.82208556
Aaron Lewis,Country,male,white,0.002414326,0.2909863,0.015097543,0.6915019
Aaron May,Hip-hop,male,white,0.004402047,0.27461845,0.00886082,0.7121187
Aaron Shust,Rock,male,white,0.00183708,0.038181964,0.014945989,0.94503504
Aaron Tippin,Country,male,white,0.005400929,0.03846882,0.016997105,0.93913317
Aaron Watson,Country,male,white,0.004550986,0.17538038,0.014569357,0.80549926
Aazar,EDM,unknown,white,0.023741899,0.065090686,0.030425271,0.88074213
Ab-Soul,Hip-hop,unknown,white,0.01013798,0.06843916,0.012003849,0.909419
Abandon All Ships,Metal,unknown,api,0.57461846,0.018338108,0.023403974,0.38363948
Abbey Lincoln,Jazz,female,white,0.005574485,0.05025262,0.029346429,0.91482645
Abby Anderson,Country,female,white,0.003547488,0.15490833,0.015477614,0.8260665
Abdel Halim Hafez,Pop,male,white,0.08893981,0.0509177,0.1135239,0.7466186
Abdul,EDM,male,white,0.09834933,0.1207183,0.06996183,0.7109706
Abel Zavala,Rap,male,hispanic,0.028884852,0.004301706,0.86102754,0.10578595
Abhi The Nomad,Hip-hop,female,white,0.2864096,0.22480358,0.011129951,0.47765693
Abir,Pop,female,white,0.28195524,0.16728741,0.13725643,0.41350088
Above & Beyond,EDM,unknown,white,0.016768293,0.17142762,0.052647486,0.75915664
Above The Law,Rap,female,white,0.006120509,0.11454857,0.012443666,0.8668873
Abraham Vazquez,Pop,male,hispanic,0.004826587,0.005404905,0.9421842,0.04758424
Absofacto,Indie,unknown,white,0.004730265,0.001355147,0.016009156,0.97790545
Abstract,Hip-hop,unknown,white,0.008023987,0.032513916,0.028226076,0.9312361
Academy of Ancient Music,Classical,unknown,white,0.005989285,0.008531467,0.011079787,0.97439945
Academy of St. Martin in the Fields,Classical,male,white,0.002199355,0.23010989,0.015536792,0.752154
Accept,Metal,unknown,white,0.00597741,0.10280021,0.006918026,0.8843043
Acceptance,Pop,unknown,white,0.005754291,0.11324688,0.013882457,0.8671164
Ace,Hip-hop,unknown,white,0.010911267,0.046814274,0.013733032,0.92854136
Ace Frehley,Metal,unknown,white,0.003433318,0.06143565,0.014997062,0.92013395
Ace Hood,Hip-hop,unknown,white,0.01606627,0.1676664,0.022727372,0.79354
Ace of Base,EDM,unknown,white,0.029805357,0.07581951,0.022619808,0.87175536
Acerina Y Su Danzonera,Rock,androgynous,white,0.01630727,0.002644735,0.044755593,0.9362924
Aceyalone,Hip-hop,unknown,white,0.014048887,0.0723627,0.040466618,0.87312174
Achille Togliani,Pop,male,white,0.008128696,0.006249711,0.039279398,0.9463422
Acid Bath,Metal,unknown,white,0.021239989,0.10125275,0.021895219,0.85561204
Acid Ghost,Indie,unknown,white,0.004921141,0.04454974,0.018797332,0.9317318
Acid King,Metal,male,white,0.009804706,0.19512059,0.015502213,0.7795724
Acker Bilk,Jazz,unknown,white,0.008333923,0.12005967,0.020980204,0.85062623
Acoustic Alchemy,Jazz,unknown,white,0.002124342,0.45693004,0.009057085,0.5318885
Action Bronson,Hip-hop,male,white,0.002976903,0.15372051,0.015578587,0.8277239
Active Child,Indie,unknown,white,0.007070319,0.06572227,0.010870782,0.9163366
Adalberto Santiago,Jazz,male,hispanic,0.05276738,0.000705011,0.9100735,0.03645413
Adam & The Ants,EDM,male,white,0.014716532,0.047756277,0.008484159,0.929043
Adam Ant,EDM,male,white,0.006090482,0.28725305,0.086528026,0.62012845
Adam Calhoun,Country,male,white,0.002825896,0.27345046,0.036746155,0.6869775
Adam Carroll,Country,male,white,0.005335631,0.13057311,0.018543571,0.84554774
Adam Doleac,Country,male,black,0.002440213,0.7372996,0.003040659,0.25721955
Adam Friedman,Pop,male,white,0.003706669,0.008653423,0.018653078,0.9689868
Adam Hicks,Pop,male,white,0.0031858,0.20873752,0.020807829,0.76726884
Adam Hood,Country,male,white,0.005171758,0.13877995,0.01827292,0.83777535
Adam Jensen,Indie,male,white,0.002808608,0.023620492,0.021165308,0.9524055
Adam K & Soha,EDM,male,white,0.20696086,0.12445274,0.17815956,0.49042684
Adam Lambert,EDM,male,white,0.004159681,0.05608484,0.02361561,0.91613984
Adam Levine,Pop,male,white,0.007174845,0.087424174,0.030926194,0.8744748
Adam Melchor,Indie,male,hispanic,0.15362786,0.042939812,0.5159642,0.28746805
Adele,Pop,female,white,0.023994762,0.045621794,0.07362679,0.8567566
Adelitas Way,Metal,androgynous,white,0.008303622,0.097911194,0.014977012,0.87880814
Adem,Metal,male,white,0.04706421,0.0438326,0.08186748,0.82723564
Adema,Metal,unknown,white,0.036763202,0.016278803,0.213017,0.733941
Adina Howard,Pop,female,white,0.006098019,0.24142358,0.021010809,0.7314676
Adje,Hip-hop,female,white,0.021124532,0.1293244,0.19119713,0.658354
Admiral Bailey,EDM,female,white,0.22808182,0.03270808,0.14698312,0.592227
Adrian Gurvitz,Rock,male,white,0.001989915,0.004258272,0.029326985,0.96442485
Adrian Marcel,Pop,male,white,0.016390042,0.05571646,0.3603887,0.56750476
Adriana Calcanhotto,Pop,female,white,0.016639829,0.001289493,0.025178691,0.956892
Adriana Proenza,Indie,female,white,0.012192818,0.006831371,0.12818806,0.85278773
Adrianne Pieczonka,Classical,female,white,0.003420111,0.000779235,0.006875433,0.9889253
Adriano Celentano,Pop,male,white,0.010837024,0.002281013,0.28607044,0.7008115
Adriel Favela,Pop,unknown,hispanic,0.052837357,0.006961864,0.7013705,0.23883037
Adrienne Albert,Classical,female,white,0.002434679,0.007753622,0.012594413,0.97721726
Adrián Patiño,Classical,male,white,0.005676663,0.05294139,0.040025525,0.90135646
Adventure Club,EDM,unknown,white,0.004600543,0.009371262,0.019949889,0.96607834
Aegis,Rock,unknown,white,0.003732987,0.012730609,0.01938921,0.9641472
Aer,Rock,unknown,white,0.016782664,0.03601807,0.01966947,0.92752975
Aero Chord,EDM,unknown,white,0.008005629,0.14256999,0.015083007,0.83434135
Aerodrom,Rock,unknown,white,0.006378852,0.03406355,0.0327937,0.9267639
Aerosmith,Rock,unknown,white,0.003321667,0.1282885,0.019220559,0.8491693
Aesop Rock,Hip-hop,male,white,0.002445213,0.038767964,0.009605468,0.9491814
Africando,Jazz,unknown,white,0.0320003,0.019366557,0.033881873,0.9147513
Afrika Bambaataa,Hip-hop,unknown,white,0.21947367,0.0844223,0.047026236,0.6490778
Afro B,EDM,male,white,0.038792036,0.06480161,0.023251107,0.8731552
Afro Bros,Hip-hop,male,white,0.007427474,0.00770079,0.08398649,0.9008852
Afro-Cuban All Stars,Jazz,unknown,white,0.022459304,0.06747185,0.011056386,0.89901245
Afrojack,EDM,unknown,white,0.007036399,0.06602848,0.008220498,0.91871464
Afroman,Hip-hop,unknown,white,0.010544446,0.04485492,0.020916663,0.923684
After The Burial,Metal,female,white,0.12897207,0.104082495,0.07777989,0.68916553
Aftertheparty,Rap,unknown,white,0.03419849,0.04383913,0.015537527,0.9064248
Afu-Ra,Hip-hop,unknown,white,0.22444135,0.008901709,0.2048288,0.56182814
Against Me!,Indie,unknown,white,0.020814303,0.008977258,0.036878955,0.9333295
Against The Current,Pop,female,white,0.101341076,0.05155054,0.11495764,0.7321508
Agent Steel,Metal,unknown,white,0.005086433,0.042278957,0.012774089,0.9398606
Agnes,Pop,female,white,0.002344402,0.20983562,0.009421448,0.7783985
Agnes Baltsa,Classical,female,white,0.102170795,0.011240207,0.07393756,0.8126515
Agnes Giebel,Classical,female,white,0.00426208,0.00504513,0.014006378,0.97668636
Agnes Obel,Pop,female,white,0.005850812,0.002973251,0.016506048,0.97466993
Agnetha Fältskog,Pop,female,white,0.001272761,0.009949028,0.008319584,0.9804586
Agnostic Front,Oldies,unknown,white,0.003910652,0.06997457,0.024123827,0.90199095
Aguaturbia,Rock,unknown,hispanic,0.091996126,0.012018604,0.6333117,0.26267356
Agust D,Rap,unknown,white,0.07089317,0.07273198,0.073726036,0.7826488
Agustín Barrios Mangoré,Classical,male,white,0.033893473,0.14987403,0.030514937,0.78571755
Ahlam,Pop,female,white,0.10074663,0.12996028,0.029887464,0.7394056
Ahmad Jamal,Jazz,male,api,0.8909253,0.018656801,0.033716094,0.05670173
Ahmad Jamal Trio,Jazz,male,white,0.06889886,0.0306782,0.27613991,0.624283
Ahmet Kaya,Rock,male,white,0.2287866,0.018519213,0.09218235,0.66051185
Ahrix,EDM,unknown,white,0.001567073,0.053536754,0.009767477,0.93512875
Aiko,Pop,female,white,0.025898807,0.013867625,0.0134603,0.94677323
Ailee,Pop,unknown,white,0.010846329,0.05105837,0.009238755,0.9288565
Aim,Pop,unknown,api,0.9324799,0.003587489,0.012128773,0.05180383
Aimee Mann,Indie,female,white,0.007924641,0.1051415,0.01865036,0.86828357
Aimer,Pop,unknown,white,0.006670424,0.02495127,0.014171198,0.95420706
Air,Oldies,unknown,api,0.82179534,0.022238988,0.039889608,0.1160761
Air Supply,Oldies,unknown,white,0.003225185,0.01384582,0.012840455,0.97008854
Airbourne,Metal,unknown,white,0.008159314,0.06615867,0.013449478,0.9122326
Airiel,Indie,unknown,white,0.013080359,0.021573963,0.034547783,0.9307978
Airplay,Rock,unknown,white,0.008027638,0.046231013,0.01968917,0.92605215
Aisha Badru,Indie,female,white,0.036865707,0.12496251,0.04092286,0.79724896
Aitch,Hip-hop,unknown,white,0.0064024,0.040927302,0.013823533,0.93884677
Ajda Pekkan,Jazz,female,white,0.006837007,0.001636217,0.012082908,0.9794439
Akademie für Alte Musik Berlin,Classical,unknown,white,0.00353083,0.019909665,0.013595724,0.9629638
Akin,Country,unknown,white,0.007452128,0.052892935,0.013428318,0.9262267
Akina Nakamori,Pop,female,api,0.64860463,0.02581549,0.011387817,0.3141921
Akinyele,Hip-hop,unknown,white,0.005792729,0.0941587,0.013782608,0.88626593
Akon,EDM,unknown,white,0.047126096,0.02326308,0.028455706,0.9011551
Akwid,Hip-hop,unknown,white,0.004955367,0.1766933,0.020882783,0.79746854
Al Alberts,Indie,male,white,0.004489563,0.124429435,0.019270089,0.8518109
Al Bano,Pop,male,hispanic,0.041981872,0.004489906,0.53366035,0.41986787
Al Bano And Romina Power,Pop,male,white,0.004262973,0.059351053,0.018333577,0.9180524
Al Bowlly,EDM,male,white,0.003417133,0.025578063,0.01846225,0.95254254
Al Cohn,Jazz,male,white,0.002052959,0.08216193,0.012099216,0.90368587
Al Dexter & His Troopers,Country,male,white,0.002163125,0.14663993,0.015966475,0.83523047
Al Di Meola,Jazz,male,white,0.013716508,0.007044534,0.06086132,0.9183776
Al Haig Trio,Jazz,male,white,0.022021445,0.023907106,0.01700035,0.9370711
Al Hirt,Jazz,male,white,0.00133252,0.02254636,0.008882082,0.9672391
Al Jarreau,Jazz,male,white,0.003535634,0.024141314,0.004022023,0.96830106
Al Jolson,Jazz,male,white,0.003538729,0.21953689,0.01856425,0.7583601
Al Kooper,Country,male,white,0.006579856,0.028470132,0.017053058,0.9478969
Al Martino,Pop,male,white,0.008723485,0.007112152,0.09813911,0.88602525
Al Stewart,Country,male,white,0.004968112,0.20555353,0.019652689,0.7698257
Alabama,Country,unknown,hispanic,0.08085637,0.007018474,0.7856219,0.12650327
Alabama Shakes,Indie,unknown,white,0.15177,0.045817733,0.054145806,0.74826646
Alabina,Pop,unknown,hispanic,0.016440798,0.016679576,0.5265284,0.44035113
Alain Bashung,Indie,male,api,0.97042984,0.001462167,0.003025112,0.025082862
Alain Goraguer,EDM,male,hispanic,0.07873319,0.002479332,0.7966266,0.12216089
Alain Planes,Classical,male,hispanic,0.11328062,0.001834898,0.6931732,0.19171123
Alain Souchon,Indie,male,white,0.02386943,0.0493133,0.049738728,0.87707853
Alaina Castillo,Pop,female,hispanic,0.1489127,0.00630895,0.785211,0.059567343
Alaine,Rock,unknown,white,0.017580772,0.06227909,0.074610226,0.8455299
Alan Gilbert,Classical,male,white,0.008118954,0.017682297,0.08474743,0.88945127
Alan Jackson,Country,male,white,0.006057845,0.006990091,0.04741377,0.93953836
Alan Parsons,Oldies,male,white,0.005682019,0.032737512,0.025471264,0.9361091
Alan Tam,Pop,male,white,0.39899555,0.041662365,0.04379387,0.5155482
Alanis Morissette,Pop,female,white,0.028631613,0.017344046,0.011110033,0.9429143
Alannah Myles,Pop,female,white,0.02281565,0.037992056,0.021568786,0.9176235
Alaska Y Dinarama,Pop,unknown,api,0.47876772,0.06133079,0.1161112,0.34379023
Alban Berg,Classical,male,white,0.007623726,0.014215409,0.027957372,0.9502035
Alban Berg Quartett,Classical,male,white,0.25104022,0.024490368,0.018696014,0.7057734
Albert Ayler,Jazz,male,white,0.003515893,0.13202608,0.021133259,0.8433248
Albert Collins,Rock,male,white,0.003583122,0.16878942,0.013623131,0.81400436
Albert Hammond,EDM,male,white,0.002345198,0.28973186,0.01062143,0.69730157
Albert Hammond Jr,EDM,male,white,0.005232319,0.009278563,0.014482935,0.9710062
Albert King,Rock,male,white,0.005530101,0.124059096,0.017633785,0.852777
Albert Lortzing,Classical,male,white,0.004236403,0.01675559,0.012597417,0.9664106
Alberto Cortez,Pop,male,hispanic,0.011223595,0.006865483,0.9334479,0.048462983
Alberto Rabagliati,Pop,male,white,0.009455211,0.004570166,0.024749551,0.96122503
Alberto Vazquez,Pop,male,hispanic,0.004310709,0.004963119,0.9360795,0.054646656
Alcatrazz,Metal,unknown,white,0.007280452,0.118955635,0.09490765,0.77885634
Alda Noni,Classical,female,white,0.008974537,0.003674056,0.29018652,0.6971649
Aldo Ciccolini,Classical,male,white,0.001477413,0.0017951,0.022926325,0.9738012
Aldo Donà,Pop,male,white,0.00295545,0.2637043,0.026887244,0.706453
Aldo Nova,Metal,male,hispanic,0.074880145,0.003348246,0.80574363,0.11602799
Aldo Protti,Classical,male,white,0.00267129,0.003753504,0.021507716,0.9720675
Aldo Trujillo,Pop,male,hispanic,0.013872113,0.002129004,0.95965147,0.024347438
Alec Benjamin,Pop,male,white,0.13433762,0.06847347,0.0754184,0.7217705
Alegre All Stars,Jazz,unknown,white,0.003168199,0.10994575,0.020494685,0.86639136
Alejandra Guzman,Pop,female,hispanic,0.053243715,0.003018193,0.8953832,0.048354886
Alejandro Escovedo,Country,male,hispanic,0.021511676,0.000910782,0.96223676,0.015340781
Alejandro Fernández,Pop,male,hispanic,0.049337745,0.023573125,0.6245783,0.30251086
Alejandro Sanz,Pop,male,hispanic,0.008750768,0.003975345,0.8955264,0.091747425
Aleks Syntek,Pop,male,white,0.001655003,0.013504474,0.017346729,0.96749383
Alesana,Metal,unknown,hispanic,0.014259584,0.00302616,0.8598347,0.12287962
Alessandro Corbelli,Classical,male,white,0.001505904,0.001744544,0.009010201,0.9877394
Alessandro Safina,Pop,male,white,0.020760344,0.02500934,0.04389209,0.91033816
Alessandro Scarlatti,Classical,male,white,0.002869078,0.006099805,0.038742375,0.95228875
Alessi Brothers,Rock,unknown,white,0.004032156,0.06697078,0.016392147,0.9126049
