artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
Mara Zampieri,0.968,0.253,126733,0.21,0.149,0.138,-16.303,0.0412,74.324,0.104,0,3,0,1,"['classical soprano', 'italian soprano']",Classical
Marah,0.475,0.674,161855,0.649,0,0.27,-10.035,0.0314,90.021,0.963,0,5,1,2,"['alternative country', 'philly indie', 'roots rock']",Country
Marc Almond,0.276,0.647,267955,0.608,0,0.062333333,-12.146,0.0298,122.3416667,0.606,49.66666667,10,1,3,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",EDM
Marc Anthony,0.482889935,0.551954248,295912.8954,0.751071895,6.08E-05,0.23350719,-5.698326797,0.052426144,115.9098693,0.655515033,50.18954248,2,0,153,"['latin', 'latin pop', 'modern salsa', 'salsa', 'tropical']",Pop
Marc Antoine,0.513,0.619,306560,0.781,0.876,0.063,-7.16,0.0328,102.023,0.647,33,7,1,2,"['rumba', 'smooth jazz']",Jazz
Marc Blitzstein,0.986,0.496,198373,0.0761,0.00318,0.145,-18.193,0.0607,168.053,0.525,0,2,1,2,['american modern classical'],Classical
Marc Broussard,0.05935,0.756,290587,0.6365,0.000555585,0.233,-7.701,0.0826,88.3165,0.846,47,11,0,4,"['acoustic pop', 'lafayette indie', 'neo mellow']",Indie
Marc Cohn,0.637666667,0.506666667,268542.1667,0.333666667,0.000853518,0.16285,-14.47616667,0.036816667,130.8136667,0.3885,43.83333333,0,1,12,"['folk', 'lilith', 'mellow gold', 'pop rock']",Pop
Marc E. Bassy,0.225157895,0.628263158,214341.6842,0.538105263,0.000266001,0.153505263,-7.205947368,0.165178947,110.9898947,0.487157895,61,1,1,19,"['indie r&b', 'pop', 'pop rap', 'rap']",Indie
Marc Johnson,0.982,0.084,427360,0.00835,0.943,0.0597,-33.475,0.041,83.285,0.0679,49,8,0,1,"['contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz double bass', 'jazz fusion']",Jazz
Marc Jordan,0.6085,0.7395,221060,0.4815,0.0638,0.09665,-14.0925,0.06025,97.5045,0.616,30.5,11,1,4,"['deep soft rock', 'yacht rock']",Rock
Marc Lavoine,0.4945,0.572,218386.5,0.326,4.73E-05,0.0957,-13.832,0.05325,79.9765,0.5235,53.5,5,1,4,"['chanson', 'french pop']",Pop
Marc Lavry,0.961,0.199,181547,0.384,0.00243,0.151,-10.759,0.035,80.37,0.327,0,2,0,1,"['israeli classical', 'oriental classical']",Classical
Marc-André Hamelin,0.992,0.303,339733,0.0372,0.887,0.073,-24.171,0.0497,72.147,0.038,32,3,1,2,['classical piano'],Classical
Marc-Antoine Charpentier,0.8625,0.529,102466.5,0.308,0.755,0.1199,-12.792,0.0427,106.743,0.699,15.5,2,1,2,"['baroque', 'classical', 'early music', 'french baroque']",Classical
Marcel Dupré,0.634,0.144,711707,0.0126,0.841,0.109,-12.306,0.0365,104.529,0.0369,0,0,1,1,"['classical organ', 'early modern classical']",Classical
Marcel Khalifa,0.954,0.484,557467,0.1,0.000251,0.114,-19.668,0.05,97.107,0.376,37,5,0,2,"['arab folk', 'arab pop', 'arabic jazz', 'lebanese pop', 'oud']",Jazz
Marcelo Alvarez,0.9865,0.3095,214320,0.1094,7.20E-05,0.0988,-17.0985,0.04825,140.09,0.2112,1,6,1,2,['classical tenor'],Classical
Marcelo D2,0.0423,0.55,175747,0.834,0,0.29,-7.134,0.358,83.15,0.797,51,4,0,1,"['brazilian hip hop', 'brazilian rock', 'pagode']",Hip-hop
Marcia Griffiths,0.289142857,0.705571429,208368,0.701714286,0.002050857,0.275142857,-8.672571429,0.057457143,130.5845714,0.930285714,48,6,1,7,"['dub', 'lovers rock', 'reggae', 'rock steady', 'roots reggae', 'ska']",Rock
Marciano Cantero,0.125,0.627,277107,0.675,0,0.0784,-7.125,0.213,79.31,0.961,76,5,0,2,['rock en espanol'],Rock
Marcin Wasilewski Trio,0.93,0.307,431880,0.09795,0.826,0.12555,-22.9185,0.0398,89.9805,0.0834,50,7,1,4,"['contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'german jazz', 'italian jazz', 'jazz fusion', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'polish jazz', 'polish modern jazz', 'swedish jazz']",Jazz
Marco Antonio Solís,0.328248101,0.565962025,244232.4557,0.512367089,0.002670922,0.173253165,-7.574278481,0.032013924,113.9863038,0.44863038,53.37974684,9,1,79,"['grupera', 'latin', 'latin pop', 'regional mexican']",Pop
Marco Antonio Vázquez,0.876,0.739,141653,0.366,2.47E-05,0.0645,-10.742,0.0538,127.398,0.774,36,0,1,2,['mexican rock-and-roll'],Rock
Marco Armani,0.0816,0.691,247907,0.432,0,0.0637,-10.097,0.0252,82.03,0.471,46,0,1,2,['classic italian pop'],Pop
Marco Barrientos,0.12813628,0.4342,325534.5333,0.648066667,0.008093657,0.746066667,-7.449066667,0.048106667,124.3827333,0.2522,53.46666667,9,1,15,"['latin christian', 'latin worship', 'rock cristiano']",Rock
Marco McKinnis,0.346,0.725,293347,0.418,1.01E-06,0.0658,-8.799,0.0309,77.923,0.378,60,9,1,2,"['alternative r&b', 'indie r&b', 'trap soul']",Indie
Marcos Yaroide,0.593666667,0.461,245987.3333,0.636333333,0,0.084633333,-4.810333333,0.036166667,111.6146667,0.448333333,52,1,1,6,"['latin christian', 'latin worship', 'rap cristiano']",Rap
Marcus Gilmore,0.965,0.445,396520,0.0978,0.915,0.121,-26.924,0.0397,117.283,0.173,50,3,1,1,['jazz drums'],Jazz
Marcus Johnson,0.345,0.789,210773,0.676,0.0281,0.112,-8.124,0.0344,91.011,0.869,45,8,1,2,"['deep smooth jazz', 'smooth jazz']",Jazz
Marcus Miller,0.1965,0.7425,336000,0.332,0.00264,0.08415,-14.613,0.04915,86.246,0.583,34,7,1,4,"['electric bass', 'instrumental funk', 'jazz funk', 'jazz fusion', 'modern funk']",Jazz
Marcus Roberts,0.864,0.5255,260733.5,0.08525,0.7245,0.13,-23.321,0.04425,101.2765,0.0878,24,8,1,4,"['jazz piano', 'stride']",Jazz
Marcy Playground,0.24005375,0.53825,181268.5,0.5485,0.164060775,0.1244875,-8.508,0.0320875,120.713,0.5115,44.25,7,1,16,"['alternative rock', 'pop rock', 'post-grunge']",Pop
Marek Janowski,0.9695,0.205875,333093.25,0.182275,0.347,0.16,-19.30725,0.03975,92.3925,0.095175,0,11,1,8,"['classical performance', 'orchestral performance']",Classical
Maren Morris,0.153353143,0.58947619,209054.8571,0.704,7.71E-07,0.194528571,-5.370238095,0.045757143,96.99561905,0.554857143,65.0952381,9,1,21,"['contemporary country', 'pop', 'texas country']",Country
Maretu,0.00806,0.52,259231,0.963,0.000151,0.175,-2.662,0.0498,155.934,0.567,58,10,0,2,"['anime rock', 'vocaloid']",Rock
Marga Höffgen,0.95775,0.213,989573.5,0.236825,0.7205,0.161725,-18.05,0.040575,83.0175,0.177525,0,2,1,4,['classical contralto'],Classical
Margaret Whiting,0.83538961,0.407753247,171226.987,0.168257143,0.001428089,0.202707792,-13.27919481,0.037866234,99.86844156,0.367750649,15.03896104,3,1,77,"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",Jazz
Margie Day,0.601,0.405,158587,0.491,6.73E-05,0.0811,-8.922,0.0378,121.144,0.348,31,0,0,2,['rhythm and blues'],R&B
Margo Guryan,0.568166667,0.503,142493.3333,0.57,0.09664641,0.17135,-9.353,0.042683333,120.5875,0.6245,29.16666667,10,1,12,['baroque pop'],Pop
Margot & The Nuclear So And So's,0.208,0.547,248633,0.504,0.0001035,0.08915,-6.385,0.0269,128.217,0.246,46.5,7,1,4,"['dreamo', 'indie pop', 'indy indie', 'stomp and holler']",Indie
Mari Merche Y Su Orquesta,0.8095,0.501,165499.75,0.47275,0.03100077,0.2916,-10.18225,0.0497,93.839,0.60025,0,7,1,8,['vintage spanish pop'],Pop
Mari Trini,0.0693,0.578,152907,0.633,0,0.369,-4.967,0.0324,120.909,0.729,30,2,0,2,"['cancion melodica', 'cantautor', 'pop romantico']",Pop
Maria Bethânia,0.568666667,0.550733333,256350.2,0.384733333,0.000811613,0.121513333,-13.98053333,0.058533333,111.1468667,0.510866667,42.86666667,5,1,15,"['baile pop', 'bossa nova', 'forro', 'mpb', 'nova mpb', 'samba', 'samba de roda', 'umbanda']",Pop
Maria Callas,0.97478972,0.297065421,228590.9766,0.167565654,0.074306931,0.232441121,-16.56410748,0.063324766,96.50630374,0.151766355,8.08411215,2,1,214,"['classical soprano', 'opera']",Classical
Maria Caniglia,0.959461538,0.374576923,208828.1923,0.202380769,0.041015837,0.287992308,-15.35588462,0.135415385,83.74103846,0.224496154,0,11,1,26,"['classical soprano', 'italian soprano']",Classical
Maria Conchita Alonso,0.412,0.6385,235499.75,0.4365,3.33E-06,0.15915,-14.70575,0.04395,120.481,0.47025,43.75,7,1,8,"['bolero', 'grupera', 'latin', 'latin pop', 'pop romantico']",Pop
Maria Graf,0.989,0.51,236000,0.147,0.899,0.108,-25.001,0.0414,98.478,0.455,52,7,0,1,['classical harp'],Classical
Maria João Pires,0.99475,0.44525,245606.75,0.059245,0.92225,0.095875,-27.84225,0.0555,98.45525,0.2205,42.75,5,1,8,"['classical', 'classical performance', 'classical piano']",Classical
Mariah,0.1677455,0.664333333,303028.5,0.617333333,0.465671717,0.100533333,-10.25766667,0.053666667,124.0228333,0.641,39.66666667,5,1,12,"['dance pop', 'pop', 'r&b', 'urban contemporary']",EDM
Mariah Carey,0.354196961,0.572691176,253607.4657,0.55995098,0.00070136,0.176653431,-8.089406863,0.054518627,119.6576863,0.418808824,47.94607843,7,1,204,"['dance pop', 'pop', 'r&b', 'urban contemporary']",EDM
Mariahlynn,0.05,0.903,156000,0.612,0.000123,0.0736,-7.789,0.319,100.013,0.672,58,7,1,2,"['hip pop', 'trap queen']",Pop
Marian Anderson,0.9826,0.3674,205506.4,0.14196,0.0056848,0.11172,-17.0622,0.05552,77.3338,0.3152,12.4,1,1,5,"['classical contralto', 'spirituals']",Classical
Marian Hill,0.37924,0.7642,205181.2,0.3588,0.06002,0.16782,-11.734,0.18248,130.1324,0.27246,60.8,0,0,10,['electropop'],Pop
Marian McPartland,0.930076923,0.476307692,191512.7692,0.198538462,0.896923077,0.111669231,-20.44276923,0.043261538,108.7126154,0.406461538,12.30769231,8,1,26,"['jazz piano', 'library music', 'stride']",Jazz
Marianas Trench,0.08457,0.5795,236147.625,0.76725,0,0.1904625,-5.028375,0.0677625,132.513875,0.527875,52.625,4,1,16,"['canadian rock', 'neon pop punk', 'pixie', 'pop', 'pop punk', 'pop rock']",Pop
Marianne Faithfull,0.397966667,0.638333333,250157.6667,0.372666667,0.039104417,0.2135,-13.184,0.03715,114.3458333,0.616333333,39.16666667,4,1,12,"['british invasion', 'folk', 'folk rock', 'lilith', 'new wave pop', 'traditional folk']",Pop
Marianne Schroeder,0.956714286,0.323714286,253513.2857,0.241785714,0.07039023,0.483214286,-15.26264286,0.062807143,98.28871429,0.1484,0,4,1,14,"['avant-garde', 'contemporary classical piano']",Classical
Mariano Barba,0.485,0.589,272920,0.479,0,0.077,-8.146,0.0278,136.567,0.736,63,2,1,2,"['banda', 'duranguense', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']",Pop
Mariano Mores,0.994,0.318,189627,0.112,0.384,0.093,-12.957,0.0482,64.192,0.18,0,4,0,2,"['latin classical', 'tango', 'vintage tango']",Classical
Maribou State,0.509,0.665,247710,0.518333333,0.127941,0.098033333,-7.397,0.077233333,113.683,0.221333333,65.33333333,10,0,3,"['electronica', 'future garage', 'indie soul']",EDM
Marie Osmond,0.47,0.527,196822.3333,0.348666667,5.41E-06,0.1824,-12.446,0.031066667,114.818,0.506333333,44.66666667,10,1,6,"['bubblegum pop', 'classic country pop']",Country
Marielle Nordmann,0.994,0.262,205467,0.0521,0.925,0.0891,-25.832,0.052,93.587,0.114,40,3,1,1,"['classical harp', 'harp']",Classical
